,META (NASD),,,,
Date,Open,High,Low,Close,Volume
12/23/2025,660.05,666,658.25,664.94,"8,486,847"
12/22/2025,661.65,673.58,656.65,661.5,"15,659,385"
12/19/2025,666.42,671,658.18,658.77,"49,977,051"
12/18/2025,657.03,670.56,656.46,664.45,"20,260,295"
12/17/2025,655.61,661.23,649.2,649.5,"15,598,548"
12/16/2025,643.5,662.54,643.2,657.15,"14,309,136"
12/15/2025,645.7,653,638.7,647.51,"15,549,088"
12/12/2025,649.8,711,638.61,644.23,"14,016,915"
12/11/2025,643.29,655.28,640.8,652.71,"13,056,726"
12/10/2025,649.95,654.51,643.4,650.13,"16,910,883"
12/9/2025,663.77,664.48,653.34,656.96,"12,997,116"
12/8/2025,669.34,676.71,665.07,666.8,"13,160,976"
12/5/2025,664,674.69,662.39,673.42,"21,207,861"
12/4/2025,676,676.1,660.05,661.53,"29,874,622"
12/3/2025,644.41,648.85,637.55,639.6,"11,134,305"
12/2/2025,642.34,647.87,638.07,647.1,"11,640,869"
12/1/2025,639.55,645.32,637.76,640.87,"13,029,922"
11/28/2025,636.08,648.05,635.5,647.95,"11,033,198"
11/26/2025,637.69,638.36,631.63,633.61,"15,209,481"
11/25/2025,624,637.05,618.3,636.22,"25,212,978"
11/24/2025,598.72,616.7,597.63,613.05,"23,554,932"
11/21/2025,588.5,598.12,581.86,594.25,"21,052,624"
11/20/2025,603.5,606.72,583.35,589.15,"20,603,024"
11/19/2025,593.72,595.33,581.25,590.32,"24,744,703"
11/18/2025,591.6,603.66,583.78,597.69,"25,500,647"
11/17/2025,609.04,611.69,595.4,602.01,"16,501,331"
11/14/2025,601.79,613.68,595.2,609.46,"20,724,146"
11/13/2025,613.07,617.65,603,609.89,"20,973,845"
11/12/2025,628.13,628.99,607.77,609.01,"24,493,272"
11/11/2025,628,629.56,619.39,627.08,"13,302,187"
11/10/2025,631.09,635,618.11,631.76,"19,245,000"
11/7/2025,616.49,622.13,601.2,621.71,"29,946,826"
11/6/2025,635.85,636,618,618.94,"23,628,750"
11/5/2025,632.31,642.23,626.54,635.95,"20,219,855"
11/4/2025,628.04,641.74,626.01,627.32,"27,356,553"
11/3/2025,656,659.33,636.18,637.71,"33,003,599"
10/31/2025,674.51,674.89,645.57,648.35,"56,953,169"
10/30/2025,669.15,680.96,650.17,666.47,"88,440,094"
10/29/2025,754.75,759.16,742.51,751.67,"26,818,592"
10/28/2025,752.63,758.4,745.52,751.44,"12,193,818"
10/27/2025,749.73,755.75,748.01,750.82,"11,321,080"
10/24/2025,736.79,741.21,731.15,738.36,"9,151,267"
10/23/2025,734.7,742.41,733.1,734,"9,855,974"
10/22/2025,733.83,740.6,724.03,733.41,"8,734,491"
10/21/2025,736.02,738.5,728.75,733.27,"7,647,269"
10/20/2025,721.19,733.77,720.18,732.17,"8,900,204"
10/17/2025,707.08,718.54,706.12,716.92,"12,232,441"
10/16/2025,717.55,725.49,703.88,712.07,"9,017,010"
10/15/2025,717.06,723.9,709.51,717.55,"10,246,766"
10/14/2025,707.78,715.55,699.33,708.65,"8,829,757"
10/13/2025,713.01,719.94,707.64,715.7,"9,251,796"
10/10/2025,730.92,735.27,704.51,705.3,"16,980,091"
10/9/2025,718.28,733.51,712.44,733.51,"12,717,172"
10/8/2025,713.45,719.65,707.81,717.84,"10,790,571"
10/7/2025,717.72,718.5,705.75,713.08,"12,062,928"
10/6/2025,705.19,716.88,690.51,715.66,"21,654,738"
10/3/2025,729.63,731,710.18,710.56,"16,154,305"
10/2/2025,722.58,727.77,718.14,727.05,"11,415,271"
10/1/2025,721.49,721.85,710.2,717.34,"20,419,633"
9/30/2025,742.25,742.97,726.3,734.38,"16,226,750"
9/29/2025,748.72,750.78,739.15,743.4,"9,246,768"
9/26/2025,750,751.93,737.35,743.75,"9,696,338"
9/25/2025,753.45,756.77,744.55,748.91,"10,591,065"
9/24/2025,757.5,761.11,752.53,760.66,"8,828,227"
9/23/2025,769.25,770.6,751.07,755.4,"10,872,592"
9/22/2025,781.85,785.73,764.47,765.16,"11,706,946"
9/19/2025,786.42,790.8,769.19,778.38,"23,696,824"
9/18/2025,780.75,788.78,773.36,780.25,"10,954,950"
9/17/2025,779.99,783.29,766.31,775.72,"9,400,867"
9/16/2025,767,781.36,765.1,779,"11,782,482"
9/15/2025,757.47,774.07,751.99,764.7,"10,533,780"
9/12/2025,748.73,757.57,743.76,755.59,"8,248,557"
9/11/2025,754.65,757.1,748.37,750.9,"7,923,284"
9/10/2025,765.13,765.7,751,751.98,"12,478,276"
9/9/2025,757.49,766.3,753.43,765.7,"10,999,026"
9/8/2025,756,766.51,752.02,752.3,"13,087,816"
9/5/2025,752.62,757.95,745.03,752.45,"9,663,441"
9/4/2025,748.57,761.16,745.82,748.65,"11,439,078"
9/3/2025,736,740.25,733.99,737.05,"7,699,332"
9/2/2025,726.04,736,721.73,735.11,"9,350,857"
8/29/2025,745.28,747.14,735.35,738.7,"9,070,546"
8/28/2025,744,753.05,740.8,751.11,"7,467,955"
8/27/2025,752.3,754.15,742.84,747.38,"8,315,435"
8/26/2025,750.8,754.87,747.94,754.1,"7,601,800"
8/25/2025,754.82,758.88,750.13,753.3,"6,861,158"
8/22/2025,739.23,756.9,734.39,754.79,"10,612,667"
8/21/2025,744.71,745.5,733.11,739.1,"8,876,307"
8/20/2025,747.57,750.2,731,747.72,"11,898,190"
8/19/2025,767.12,767.17,749.36,751.48,"12,286,690"
8/18/2025,775.09,775.81,756.56,767.37,"16,513,737"
8/15/2025,784.15,796.25,780.82,785.23,"13,375,361"
8/14/2025,777.88,787.81,772.51,782.13,"8,116,193"
8/13/2025,791.15,795.46,778.23,780.08,"8,811,750"
8/12/2025,773,793.67,772.43,790,"14,579,765"
8/11/2025,770.08,773.46,764.67,765.87,"7,611,964"
8/8/2025,762.75,769.9,758.58,769.3,"7,320,755"
8/7/2025,773.49,775,759.55,761.83,"9,019,691"
8/6/2025,770,773.64,760.46,771.99,"9,733,910"
8/5/2025,776.45,783.13,763,763.46,"11,640,294"
8/4/2025,760,776.85,758.41,776.37,"15,801,727"
8/1/2025,760.73,766,745.31,750.01,"19,028,710"
7/31/2025,775.2,784.75,765.51,773.44,"38,831,098"
7/30/2025,708.09,708.5,691.2,695.21,"27,077,286"
7/29/2025,720,724.47,699.91,700,"13,267,032"
7/28/2025,715.2,724.74,712.68,717.63,"8,715,743"
7/25/2025,716.92,720.65,711.9,712.68,"8,271,698"
7/24/2025,717.05,723.62,714,714.8,"10,920,836"
7/23/2025,706.37,714.63,704.93,713.58,"8,771,615"
7/22/2025,716.19,716.6,701.41,704.81,"8,921,064"
7/21/2025,706.8,717,705.76,712.97,"9,404,391"
7/18/2025,702.19,704.71,691.65,704.28,"12,779,752"
7/17/2025,704.39,705.9,697.11,701.41,"11,803,264"
7/16/2025,713.37,713.97,699.27,702.91,"13,067,627"
7/15/2025,723.9,724.47,709.82,710.39,"11,529,511"
7/14/2025,717.6,728,716.55,720.92,"8,939,399"
7/11/2025,722.5,725.16,709.7,717.51,"10,873,880"
7/10/2025,731.55,735.8,719.6,727.24,"9,922,249"
7/9/2025,722.72,737.53,722.72,732.78,"11,417,963"
7/8/2025,721.57,722.91,714.81,720.67,"7,770,693"
7/7/2025,717.6,727,713.51,718.35,"9,457,080"
7/3/2025,726.61,729.03,714.42,719.01,"8,601,653"
7/2/2025,715.33,720.3,712.8,713.57,"9,336,740"
7/1/2025,736.88,737.75,715.37,719.22,"13,431,248"
6/30/2025,744.55,747.9,734.25,738.09,"15,402,105"
6/27/2025,726.52,735.43,725.86,733.63,"18,775,735"
6/26/2025,714.36,728.22,711.05,726.09,"13,964,793"
6/25/2025,713.32,716.58,705.38,708.68,"9,320,436"
6/24/2025,704.89,713.19,702.11,712.2,"13,823,180"
6/23/2025,683.69,699.05,678.75,698.53,"11,080,055"
6/20/2025,700.75,701.82,678.67,682.35,"22,538,640"
6/18/2025,698.18,701.59,694.9,695.77,"10,068,255"
6/17/2025,702,705.97,696.06,697.23,"10,066,110"
6/16/2025,699.33,707.15,693.51,702.12,"13,720,288"
6/13/2025,687.95,694.57,681.01,682.87,"9,274,441"
6/12/2025,693.3,695.38,687,693.36,"7,322,730"
6/11/2025,703.71,708.87,691.99,694.14,"9,582,508"
6/10/2025,701.35,703.23,691.56,702.4,"10,850,146"
6/9/2025,698.46,705.19,693.94,694.06,"12,773,221"
6/6/2025,696.17,702.81,691.87,697.71,"11,727,961"
6/5/2025,691.66,694.38,682.25,684.62,"13,120,335"
6/4/2025,669.32,689,668.57,687.95,"14,031,931"
6/3/2025,671.45,675.58,665.03,666.85,"11,585,031"
6/2/2025,644.39,673.26,644.26,670.9,"15,766,258"
5/30/2025,642.5,649.41,632.78,647.49,"16,240,951"
5/29/2025,651.65,653.32,639.5,645.05,"8,883,436"
5/28/2025,642.6,650.88,642.55,643.58,"9,042,874"
5/27/2025,635.41,643.08,632.75,642.32,"9,508,367"
5/23/2025,624,632.45,622.65,627.06,"8,454,067"
5/22/2025,634.05,643.25,630.71,636.57,"8,228,443"
5/21/2025,631.79,646.61,630.17,635.5,"11,464,569"
5/20/2025,636.01,639.35,632.26,637.1,"6,743,473"
5/19/2025,628.25,643,627.8,640.43,"9,592,374"
5/16/2025,637.96,640.44,626.15,640.34,"18,518,972"
5/15/2025,654.28,657.31,638.58,643.88,"14,341,835"
5/14/2025,661.21,662.67,654.31,659.36,"12,348,179"
5/13/2025,645.55,660.92,642.83,656.03,"18,570,821"
5/12/2025,630.92,640.39,621.03,639.43,"21,965,085"
5/9/2025,603.72,606.97,591.71,592.49,"10,427,286"
5/8/2025,606.29,611.3,596.62,598.01,"14,622,805"
5/7/2025,590.36,603.08,586.67,596.81,"13,160,976"
5/6/2025,592.53,596.03,586.58,587.31,"10,600,650"
5/5/2025,591.22,603.21,588.05,599.27,"13,887,724"
5/2/2025,583.46,604.34,578.33,597.02,"24,739,260"
5/1/2025,592.08,592.95,570.5,572.21,"31,159,033"
4/30/2025,538.4,549.1,529.5,549,"29,243,971"
4/29/2025,546,556.57,544.12,554.44,"11,835,036"
4/28/2025,555.64,558.49,540.59,549.74,"15,178,995"
4/25/2025,546.8,549.86,536.25,547.27,"17,098,921"
4/24/2025,518.73,533.9,517.5,533.15,"13,910,011"
4/23/2025,528.53,535.34,516.52,520.27,"18,173,910"
4/22/2025,491.87,506.88,486.36,500.28,"17,399,408"
4/21/2025,491.33,493.5,479.8,484.66,"16,165,982"
4/17/2025,505.25,507.3,498.01,501.48,"14,593,508"
4/16/2025,508.51,513.37,495.63,502.31,"18,735,075"
4/15/2025,532.11,537.94,517.5,521.52,"15,558,659"
4/14/2025,556.18,557.77,528.28,531.48,"14,130,928"
4/11/2025,535.51,547.4,528.59,543.57,"17,642,327"
4/10/2025,575.49,581.3,535.3,546.29,"28,173,491"
4/9/2025,509.27,587.89,502.11,585.77,"39,216,578"
4/8/2025,543.25,547.43,502.86,510.45,"28,034,211"
4/7/2025,485.1,539.37,481.9,516.25,"36,606,136"
4/4/2025,506.62,518,494.2,504.73,"38,589,814"
4/3/2025,546.22,552.56,530.3,531.62,"34,777,460"
4/2/2025,574.91,592.66,573.36,583.93,"13,470,778"
4/1/2025,570.84,589.91,570,586,"12,836,574"
3/31/2025,563.5,578.7,553.3,576.36,"21,124,677"
3/28/2025,600.31,601.75,573.92,576.74,"17,602,823"
3/27/2025,602,614.25,600.1,602.58,"10,436,524"
3/26/2025,624.89,626.75,606.61,610.98,"12,661,891"
3/25/2025,626.76,633.88,621.18,626.31,"15,312,540"
3/24/2025,614.97,622.54,612.2,618.85,"15,741,274"
3/21/2025,583.43,597.55,580.95,596.25,"25,015,864"
3/20/2025,582.76,610.2,579.51,586,"24,336,505"
3/19/2025,584.28,592.32,574.77,584.06,"20,537,498"
3/18/2025,600.05,600.25,574.66,582.36,"20,297,708"
3/17/2025,607.46,613.1,598,604.9,"15,473,909"
3/14/2025,602.81,608.86,594.78,607.6,"12,364,505"
3/13/2025,620.25,620.5,586.51,590.64,"16,480,324"
3/12/2025,629.9,633.33,609.35,619.56,"15,746,966"
3/11/2025,595.06,614.93,593.33,605.71,"17,401,469"
3/10/2025,608.07,610.11,586.87,597.99,"21,999,943"
3/7/2025,625.37,634.79,600.61,625.66,"21,375,671"
3/6/2025,648,650.56,624.11,627.93,"13,446,454"
3/5/2025,641,659.5,637.66,656.47,"13,770,026"
3/4/2025,645.51,649.75,623.65,640,"21,495,208"
3/3/2025,673.68,681.25,650.84,655.05,"10,843,763"
2/28/2025,658.04,669.63,642.6,668.2,"17,534,168"
2/27/2025,682.45,688.65,657.57,658.24,"12,500,013"
2/26/2025,659.65,683.01,658,673.7,"14,488,705"
2/25/2025,665.97,668,641.86,657.5,"20,579,662"
2/24/2025,686.28,687.27,662.45,668.13,"15,676,994"
2/21/2025,696.58,703.87,682.36,683.55,"15,660,355"
2/20/2025,697.28,705.63,693.64,694.84,"12,587,408"
2/19/2025,704.1,707,695.39,703.77,"17,535,480"
2/18/2025,736,737,706.44,716.37,"21,938,703"
2/14/2025,726.14,740.91,725.62,736.67,"16,901,249"
2/13/2025,721.52,729,718.04,728.56,"12,569,064"
2/12/2025,715.3,727.1,712.6,725.38,"12,016,517"
2/11/2025,713.32,723.66,710.04,719.8,"12,997,959"
2/10/2025,718.56,721.2,711.33,717.4,"12,904,317"
2/7/2025,716.8,725.01,711.75,714.52,"16,427,067"
2/6/2025,705.88,718.9,703.5,711.99,"13,080,690"
2/5/2025,703.55,718.14,699.01,704.87,"17,793,766"
2/4/2025,702.5,707.71,691.61,704.19,"13,826,270"
2/3/2025,675.91,704,675.25,697.46,"21,415,739"
1/31/2025,691,705.3,685.58,689.18,"19,331,660"
1/30/2025,696.82,710.79,676.1,687,"29,322,898"
1/29/2025,675,681.05,665.67,676.49,"21,377,820"
1/28/2025,666,682.58,659.47,674.33,"20,950,107"
1/27/2025,626.61,663.87,625.1,659.88,"28,399,190"
1/24/2025,636.4,652,634.2,647.49,"19,065,329"
1/23/2025,627.36,636.6,621.15,636.45,"9,910,163"
1/22/2025,623.3,633.7,619.44,623.5,"12,274,011"
1/21/2025,617.83,621.5,609.01,616.46,"11,674,016"
1/17/2025,624.05,624.97,603.67,612.77,"17,280,600"
1/16/2025,611.5,616.25,609.71,611.3,"8,355,349"
1/15/2025,610.21,622.46,606.5,617.12,"15,524,302"
1/14/2025,605.07,605.49,588.55,594.25,"13,597,992"
1/13/2025,607.1,608.97,598.45,608.33,"10,785,031"
1/10/2025,610.03,629.91,597.34,615.86,"19,256,564"
1/8/2025,613.4,616.44,602.79,610.72,"10,085,846"
1/7/2025,631.7,632.1,608.23,617.89,"12,071,479"
1/6/2025,611.83,630.99,605.62,630.2,"14,560,754"
1/3/2025,604.76,609.5,596.41,604.63,"11,436,784"
1/2/2025,589.72,604.91,587.82,599.24,"12,682,269"
12/31/2024,592.27,593.97,583.85,585.51,"6,019,520"
12/30/2024,588.75,596.94,585.58,591.24,"7,025,864"
12/27/2024,599.41,601.85,589.8,599.81,"8,084,229"
12/26/2024,605.48,606.3,598.94,603.35,"6,091,239"
12/24/2024,602.72,607.99,599.28,607.75,"4,726,056"
12/23/2024,589.6,601.09,586.25,599.85,"10,205,750"
12/20/2024,590.58,603.11,580,585.25,"48,989,390"
12/19/2024,610.39,611.52,595,595.57,"14,958,082"
12/18/2024,621,627.36,596.32,597.19,"17,075,480"
12/17/2024,626.17,632.37,616.54,619.44,"12,897,842"
12/16/2024,629.98,631.15,618.58,624.24,"10,885,625"
12/13/2024,627.22,631.08,616.89,620.35,"8,453,349"
12/12/2024,631.5,636.66,627.21,630.79,"7,474,717"
12/11/2024,623.37,638.4,621.53,632.68,"10,837,228"
12/10/2024,617.56,625.59,612.74,619.32,"10,938,854"
12/9/2024,623.93,626.4,606.17,613.57,"11,426,015"
12/6/2024,610.1,629.79,608.53,623.77,"16,935,503"
12/5/2024,617.08,619.9,607.05,608.93,"8,081,212"
12/4/2024,612.96,617.78,605.1,613.78,"14,697,006"
12/3/2024,595,614.2,591.25,613.65,"14,907,164"
12/2/2024,577.5,594.5,575.57,592.83,"12,522,371"
11/29/2024,569,578.46,566.9,574.32,"7,130,519"
11/27/2024,574.89,574.98,564.1,569.2,"7,200,228"
11/26/2024,566,577.5,565.2,573.54,"10,356,550"
11/25/2024,562.1,572.59,556.39,565.11,"13,599,830"
11/22/2024,563.55,563.83,554.59,559.14,"9,164,004"
11/21/2024,569.52,570,549.05,563.09,"11,154,749"
11/20/2024,562.93,566.35,554.2,565.52,"9,797,339"
11/19/2024,551.86,561.43,550.6,561.09,"9,522,445"
11/18/2024,557.04,559.9,550.09,554.4,"14,346,715"
11/15/2024,571.22,572.57,551.5,554.08,"17,712,864"
11/14/2024,577,580.76,573.01,577.16,"11,053,743"
11/13/2024,582.61,585.64,575.17,580,"10,757,583"
11/12/2024,588.55,599.66,580.38,584.82,"16,287,724"
11/11/2024,586.36,587,576.51,583.17,"10,209,051"
11/8/2024,591.54,593.1,584.52,589.34,"9,415,699"
11/7/2024,576.89,594.8,575.21,591.7,"14,653,708"
11/6/2024,562.75,573,555.17,572.05,"18,305,429"
11/5/2024,567.31,573.48,566.67,572.43,"9,775,379"
11/4/2024,564.1,568.69,557.89,560.68,"12,064,601"
11/1/2024,567.61,573.67,562.56,567.16,"15,303,235"
10/31/2024,585,589.9,563.01,567.58,"26,838,395"
10/30/2024,600.98,601.2,589.38,591.8,"26,864,925"
10/29/2024,580.15,593.67,575.4,593.28,"13,019,092"
10/28/2024,582,583.75,574.12,578.16,"10,925,131"
10/25/2024,573.94,581.29,571.72,573.25,"11,337,874"
10/24/2024,567.13,568.88,561.52,567.78,"7,184,651"
10/23/2024,579.97,585,562.5,563.69,"14,248,419"
10/22/2024,574.29,583.53,572.12,582.01,"8,544,463"
10/21/2024,576.03,577.24,569.11,575.16,"8,171,879"
10/18/2024,581.1,583.97,575.25,576.47,"7,694,274"
10/17/2024,583.33,584.97,575.2,576.93,"8,701,158"
10/16/2024,581.4,582.08,574.03,576.79,"11,268,384"
10/15/2024,590.16,590.61,580.14,586.27,"9,564,236"
10/14/2024,594.22,600.1,589.96,590.42,"8,251,971"
10/11/2024,584.83,591.21,582.71,589.95,"8,587,051"
10/10/2024,587.57,590.23,582.52,583.83,"7,740,449"
10/9/2024,593.99,594.39,581.61,590.51,"9,529,707"
10/8/2024,589.69,593.56,585.97,592.89,"7,857,377"
10/7/2024,598.22,602.95,584.04,584.78,"12,014,198"
10/4/2024,583.73,596.85,581.43,595.94,"14,199,788"
10/3/2024,570.15,583.36,568.73,582.77,"11,580,980"
10/2/2024,574.86,576,569.34,572.81,"6,524,650"
10/1/2024,577.98,583.04,570.1,576.47,"15,259,274"
9/30/2024,567.7,574.68,564.8,572.44,"12,807,206"
9/27/2024,570.1,570.84,564.51,567.36,"9,398,367"
9/26/2024,575.73,577.4,562.35,567.84,"14,400,787"
9/25/2024,564.05,576.88,563.72,568.31,"16,543,350"
9/24/2024,566.68,567.75,554.19,563.33,"12,992,956"
9/23/2024,569.5,573.98,562.41,564.41,"12,830,669"
9/20/2024,560,564.5,556.3,561.35,"22,066,817"
9/19/2024,550,562.07,546.52,559.1,"15,646,951"
9/18/2024,537.07,544.2,533.9,537.95,"10,323,537"
9/17/2024,537.6,542.1,530.57,536.32,"11,690,779"
9/16/2024,524.54,534.1,517.4,533.28,"9,527,646"
9/13/2024,520.34,527.58,517.11,524.62,"10,321,422"
9/12/2024,517.05,526.71,515.22,525.6,"11,993,342"
9/11/2024,507.01,513.12,495.6,511.83,"10,782,532"
9/10/2024,508.16,514.18,500.03,504.79,"9,899,022"
9/9/2024,506.16,511.33,502.08,504.79,"11,047,828"
9/6/2024,521.88,524.58,498.25,500.27,"14,744,521"
9/5/2024,511.72,521.63,511.15,516.86,"8,640,888"
9/4/2024,506.07,516.59,504.07,512.74,"8,335,207"
9/3/2024,519.64,525.49,508.62,511.76,"12,459,113"
8/30/2024,521.35,523.54,515.2,521.31,"9,157,541"
8/29/2024,519.05,527.2,515.68,518.22,"8,317,424"
8/28/2024,517.68,521.09,512.45,516.78,"9,106,077"
8/27/2024,518.98,524.01,515.31,519.1,"6,282,720"
8/26/2024,527.6,528,514.95,521.12,"9,584,002"
8/23/2024,536.92,539.87,525.06,528,"11,323,936"
8/22/2024,537,544.23,528.59,531.93,"15,708,292"
8/21/2024,527.15,539.4,526.94,535.16,"13,423,292"
8/20/2024,528.35,531.09,525.88,526.73,"7,944,391"
8/19/2024,526.87,531.66,522.76,529.28,"9,879,713"
8/16/2024,531.9,533.66,524.66,527.42,"14,776,684"
8/15/2024,531.79,539.77,526.7,537.33,"13,482,141"
8/14/2024,528.06,534,523.13,526.76,"11,444,189"
8/13/2024,520.01,531.5,518.15,528.54,"13,743,839"
8/12/2024,516.86,518.02,509.1,515.95,"9,767,422"
8/9/2024,507.71,518.34,505.7,517.77,"13,696,640"
8/8/2024,497.5,509.96,494.72,509.63,"16,156,843"
8/7/2024,503.13,510.15,486.86,488.92,"20,105,307"
8/6/2024,479,502.56,478.65,494.09,"20,954,959"
8/5/2024,451.35,483.48,450.8,475.73,"21,396,191"
8/2/2024,489,501.15,476.15,488.14,"24,044,658"
8/1/2024,521,527.17,492.1,497.74,"43,083,082"
7/31/2024,471.02,476.5,466.75,474.83,"24,285,777"
7/30/2024,467,472.73,456.7,463.19,"11,390,439"
7/29/2024,469.88,473.96,465.02,465.71,"11,339,630"
7/26/2024,464.2,469.77,459.42,465.7,"14,222,388"
7/25/2024,463.26,463.55,442.65,453.41,"18,240,489"
7/24/2024,472.31,476.3,460.58,461.27,"17,649,738"
7/23/2024,489.84,495.22,487.72,488.69,"9,455,527"
7/22/2024,486.58,492.06,483.9,487.4,"12,023,088"
7/19/2024,476.06,486.71,475.71,476.79,"15,149,416"
7/18/2024,475,479.24,464.54,475.85,"19,267,160"
7/17/2024,479.17,479.17,459.12,461.99,"28,076,595"
7/16/2024,501.5,503.95,485.79,489.79,"14,075,833"
7/15/2024,498.63,506.68,493.37,496.16,"12,539,163"
7/12/2024,497.76,508.09,494.23,498.87,"19,750,544"
7/11/2024,530.89,535.46,508.37,512.7,"16,458,253"
7/10/2024,530.79,538.88,528.36,534.69,"10,983,276"
7/9/2024,533.75,537.48,528.19,530,"8,769,088"
7/8/2024,542.35,542.81,526.65,529.32,"14,917,495"
7/5/2024,511.6,540.87,511.6,539.91,"21,354,093"
7/3/2024,506.37,511.28,506.02,509.96,"6,005,615"
7/2/2024,500.76,510.5,499.45,509.5,"7,739,479"
7/1/2024,504.95,506.58,493.17,504.68,"10,328,150"
6/28/2024,517.15,521.88,503.84,504.22,"15,855,137"
6/27/2024,514.25,522.88,513.9,519.56,"10,121,199"
6/26/2024,506.65,513.81,504.68,513.12,"8,882,337"
6/25/2024,497.05,510.71,495.5,510.6,"12,109,769"
6/24/2024,499.2,507.8,494.29,498.91,"13,525,278"
6/21/2024,503.45,503.45,492.39,494.78,"23,130,732"
6/20/2024,502,503.67,496.77,501.7,"11,801,182"
6/18/2024,504.56,506,495.02,499.49,"13,060,425"
6/17/2024,501.67,510.75,496.01,506.63,"11,266,601"
6/14/2024,502.65,507.15,500.75,504.16,"10,243,347"
6/13/2024,505.71,509.36,501.36,504.1,"9,954,621"
6/12/2024,513.99,514.01,504.47,508.84,"11,983,227"
6/11/2024,500.16,507.6,498.27,507.47,"9,673,715"
6/10/2024,493.86,502.66,493.41,502.6,"11,236,919"
6/7/2024,495.91,498.91,490.17,492.96,"9,380,745"
6/6/2024,492.98,502.82,490.89,493.76,"10,667,339"
6/5/2024,484.45,496.65,483.91,495.06,"15,690,484"
6/4/2024,477,478.89,473.23,476.99,"7,088,718"
6/3/2024,470.86,479.6,468.24,477.49,"11,279,390"
5/31/2024,465.8,469.12,454.46,466.83,"16,919,805"
5/30/2024,471.67,471.73,464.71,467.05,"10,735,226"
5/29/2024,474.66,479.85,473.7,474.36,"9,226,218"
5/28/2024,476.58,480.86,474.84,479.92,"10,175,770"
5/24/2024,467.62,479.85,466.3,478.22,"12,024,254"
5/23/2024,472.88,474.36,461.54,465.78,"11,747,913"
5/22/2024,467.87,473.72,465.65,467.78,"10,078,611"
5/21/2024,467.12,470.7,462.27,464.63,"11,742,189"
5/20/2024,469.95,473.2,467.04,468.84,"11,745,080"
5/17/2024,470.83,472.8,468.42,471.91,"10,807,289"
5/16/2024,475,477.69,472.75,473.23,"16,608,179"
5/15/2024,474.98,482.5,471.2,481.54,"13,100,470"
5/14/2024,463.37,472.54,460.08,471.85,"10,478,553"
5/13/2024,472.75,473.35,462.85,468.01,"14,668,798"
5/10/2024,477.09,477.5,469.6,476.2,"10,749,999"
5/9/2024,470,476.08,467.63,475.42,"9,437,651"
5/8/2024,463.5,475.58,463,472.6,"11,683,929"
5/7/2024,466.29,471.53,461.31,468.24,"13,406,816"
5/6/2024,455.58,466.16,453.34,465.68,"15,094,627"
5/3/2024,445.93,454.17,443.85,451.96,"16,489,057"
5/2/2024,438.84,443.96,432.28,441.68,"15,221,322"
5/1/2024,428.6,449.96,427.11,439.19,"20,344,947"
4/30/2024,431.05,439.62,429.72,430.17,"18,429,496"
4/29/2024,439.56,439.76,428.56,432.62,"21,502,646"
4/26/2024,441.46,446.44,431.96,443.29,"32,691,443"
4/25/2024,421.4,445.77,414.5,441.38,"82,890,741"
4/24/2024,508.06,510,484.58,493.5,"37,772,677"
4/23/2024,491.25,498.76,488.97,496.1,"15,079,196"
